Nome;Custo_USD;Frete_USD;Embalagem_R$;II_%;IPI_%;ICMS_%;PIS_%;COFINS_;IOF_;Marketplace;Modo_Venda;Tamanho_Kit;Preco_Base
Protetor de Privacidade de Câmera;25,52339399;12,35;0,5;26,91;26,91;26,91;26,91;26,91;26,91;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;100;450
Protetor de Privacidade de Câmera;51,04678797;12,35;0,5;53,82;53,82;53,82;53,82;53,82;53,82;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;200;900
Protetor de Privacidade de Câmera;76,57018196;12,35;0,5;80,73;80,73;80,73;80,73;80,73;80,73;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;300;1350
Protetor de Privacidade de Câmera;102,0935759;12,35;0,5;107,64;107,64;107,64;107,64;107,64;107,64;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;400;1800
Protetor de Privacidade de Câmera;127,6169699;12,35;0,5;134,55;134,55;134,55;134,55;134,55;134,55;ATACADO - MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;500;2250
Protetor de Privacidade de Câmera;1,276169699;4,5;0,5;2,7;2,7;2,7;2,7;2,7;2,7;Amazon;UNIDADE;5;60
Protetor de Privacidade de Câmera;2,552339399;4,5;0,5;3,375;3,375;3,375;3,375;3,375;3,375;Amazon;UNIDADE;10;75
Protetor de Privacidade de Câmera;3,828509098;8;0,5;2,7;2,7;2,7;2,7;2,7;2,7;Amazon;UNIDADE;15;60
PRODUTO;CUSTO;TX FRETE ;EMBALAGEM;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;Marketplace;"""PARES""";Quant. Pçs;Valor de Venda
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;1,239103701;4;0,5;0,81;0,81;0,81;0,81;0,81;0,81;Shopee;"""PARES""";2;18
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;2,478207402;4;0,5;1,377;1,377;1,377;1,377;1,377;1,377;Shopee;"""PARES""";4;30,6
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;3,717311104;4;0,5;1,8225;1,8225;1,8225;1,8225;1,8225;1,8225;Shopee;"""PARES""";6;40,5
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;4,956414805;4;0,5;2,268;2,268;2,268;2,268;2,268;2,268;Shopee;"""PARES""";8;50,4
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;1,239103701;6,55;0,5;0,81;0,81;0,81;0,81;0,81;0,81;MercadoLivre Clássico;"""PARES""";2;18
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;2,478207402;6,55;0,5;1,377;1,377;1,377;1,377;1,377;1,377;MercadoLivre Clássico;"""PARES""";4;30,6
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;3,717311104;7,75;0,5;1,8225;1,8225;1,8225;1,8225;1,8225;1,8225;MercadoLivre Clássico;"""PARES""";6;40,5
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;4,956414805;7,75;0,5;2,268;2,268;2,268;2,268;2,268;2,268;MercadoLivre Clássico;"""PARES""";8;50,4
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;1,239103701;12,35;0,5;1,2915;1,2915;1,2915;1,2915;1,2915;1,2915;MercadoLivre Clássico C/ Frete;"""PARES""";2;28,7
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;2,478207402;12,35;0,5;1,935;1,935;1,935;1,935;1,935;1,935;MercadoLivre Clássico C/ Frete;"""PARES""";4;43
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;3,717311104;12,35;0,5;2,5425;2,5425;2,5425;2,5425;2,5425;2,5425;MercadoLivre Clássico C/ Frete;"""PARES""";6;56,5
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;4,956414805;12,35;0,5;3,1905;3,1905;3,1905;3,1905;3,1905;3,1905;MercadoLivre Clássico C/ Frete;"""PARES""";8;70,9
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;1,239103701;6,55;0,5;0,99;0,99;0,99;0,99;0,99;0,99;MercadoLivre Premium C/ Parcelamento;"""PARES""";2;22
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;2,478207402;6,55;0,5;1,512;1,512;1,512;1,512;1,512;1,512;MercadoLivre Premium C/ Parcelamento;"""PARES""";4;33,6
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;3,717311104;7,75;0,5;1,9575;1,9575;1,9575;1,9575;1,9575;1,9575;MercadoLivre Premium C/ Parcelamento;"""PARES""";6;43,5
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;4,956414805;7,75;0,5;2,403;2,403;2,403;2,403;2,403;2,403;MercadoLivre Premium C/ Parcelamento;"""PARES""";8;53,4
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;1,239103701;12,35;0,5;1,3455;1,3455;1,3455;1,3455;1,3455;1,3455;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";2;29,9
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;2,478207402;12,35;0,5;2,025;2,025;2,025;2,025;2,025;2,025;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";4;45
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;3,717311104;12,35;0,5;2,69955;2,69955;2,69955;2,69955;2,69955;2,69955;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";6;59,99
Protetor de Cabo Celular Silicone Transparente USB e Tipo C;4,956414805;12,35;0,5;3,37455;3,37455;3,37455;3,37455;3,37455;3,37455;MercadoLivre Premium C/ Parcelamento e Frete;"""PARES""";8;74,99
